"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HMOX1",2542.21679904259,-0.663551615952206,0.0952505193414173,-6.96638318132169,3.25192678535102e-12,7.54474544317782e-10
"ABRAXAS2",2310.88771948692,0.615982203207334,0.088534572407128,6.95753293272517,3.46283019046402e-12,7.8485046266867e-10
"CCN1",938.565426002714,-0.944527363217632,0.135952250595636,-6.94749339624359,3.71833464683882e-12,8.23886791348557e-10
"CD320",5489.9256131847,-0.479438157586977,0.0690454679957187,-6.94380343133753,3.81681504926532e-12,8.23886791348557e-10
"DHX34",1896.8389683684,-0.575883030890388,0.0829278152553824,-6.94438927538261,3.80101059688299e-12,8.23886791348557e-10
"BRMS1",4638.08585591741,-0.476097581314284,0.0686820672413423,-6.93190523286556,4.15210088326587e-12,8.82256561117696e-10
"TRIM2",2633.66971191523,0.607088209942486,0.0878823867062042,6.90796225154895,4.91664759026861e-12,1.02040871665626e-09
"NPW",7925.15717189761,-0.63936342087145,0.0925683200079178,-6.90693555653557,4.95234762109808e-12,1.02040871665626e-09
"USP36",3099.56328676384,-0.516936994093071,0.0749128524824326,-6.90051142044411,5.1815655389883e-12,1.05170313081645e-09
"DDN",1077.14162816471,-0.725497773303931,0.10548493405795,-6.8777383214305,6.08102385819367e-12,1.21397168969089e-09
"HSPBP1",5921.61481504713,-0.584644181229277,0.0850279093174318,-6.87590916820787,6.15957398254806e-12,1.21397168969089e-09
"PUF60",23181.3126600964,-0.484451240683254,0.0705197949422846,-6.86971992870573,6.43280724471089e-12,1.22263812672283e-09
"FOSL1",6955.7288591833,-0.497584649498239,0.0724410096716431,-6.86882543125317,6.47326605809571e-12,1.22263812672283e-09
"RPS28",9419.65888519793,-0.628646698633081,0.0914899741652806,-6.87120861458988,6.36602160055481e-12,1.22263812672283e-09
"KLHL24",1668.63252457294,0.628834546430976,0.0918313049236564,6.84771437097355,7.50391976488783e-12,1.38527092860087e-09
"CAMK2D",5898.35865602893,0.501140395199916,0.0731905436502784,6.84706480108253,7.53805785105263e-12,1.38527092860087e-09
"AHCY",29475.7888200819,-0.487826388747095,0.0713189501395099,-6.84006687974006,7.91562171565905e-12,1.4352605294833e-09
"NOL6",2419.14055173461,-0.606409761072207,0.0887268021021795,-6.83457249336964,8.22499357159057e-12,1.47173273131658e-09
"CLDND1",8452.0509484085,0.453861693368211,0.0664609908544836,6.82899378316435,8.55122798053479e-12,1.50680909335252e-09
"TMEM135",2754.02136199145,0.560866531717091,0.0821485383601294,6.82746818036274,8.64262881693484e-12,1.50680909335252e-09
"YARS1",12681.6689947776,-0.520620102835169,0.0763595633147159,-6.81800785959754,9.23115938066378e-12,1.58904476478034e-09
"MARS1",11062.757838929,-0.481313869247925,0.070739344293229,-6.80404764925132,1.01719870088954e-11,1.7291106416746e-09
"ZNF24",4504.61440935137,0.629989741498513,0.0927343938220258,6.79348530284868,1.09456393683728e-11,1.83765123173458e-09
"ADAM10",7420.82923705776,0.577515102086727,0.0851526883610217,6.78211238191608,1.18431287410356e-11,1.96408180182125e-09
"ZNF654",1008.58336853745,0.673238159076814,0.0994042152212581,6.77273250010869,1.2637248412999e-11,2.07052941166715e-09
"UBXN4",5571.16879264372,0.560103195908545,0.0828139834217277,6.76338913751119,1.34800531677522e-11,2.13157259335189e-09
"U2AF2",24922.3720782264,-0.489285411698175,0.0723348064776399,-6.7641766878774,1.34069389151735e-11,2.13157259335189e-09
"ZNFX1",5084.02747049251,-0.443000193260894,0.0654754427289294,-6.76589840094599,1.32484493796771e-11,2.13157259335189e-09
"OSBPL9",3636.97672685723,0.565249432953238,0.0836287983340124,6.75902851904722,1.38920051013457e-11,2.14678837924091e-09
"ITGB1",34389.7801753911,0.509865943464186,0.075430402849384,6.759422251559,1.38543080211554e-11,2.14678837924091e-09
"PPP4R3B",3886.55598364763,0.54487377856014,0.0809300732105885,6.73264902581172,1.66601603639848e-11,2.54563506505425e-09
"EIF5A",86939.1125716348,-0.514069125345759,0.0764203501386932,-6.72686168556922,1.73361385541113e-11,2.61949053552621e-09
"NME1",7643.10004554666,-0.580031176310894,0.0862710242678851,-6.72336026183955,1.77580785934916e-11,2.65375945926255e-09
"SERPINB1",7645.14863631247,0.423861559808443,0.0631068929307742,6.71656518208562,1.86058101360684e-11,2.72987793362352e-09
"SNX6",4830.42678756966,0.574223666680658,0.0854999333940971,6.71607150889667,1.86689203490688e-11,2.72987793362352e-09
"WASHC4",2107.49539838158,0.739372833627929,0.110137340221057,6.71318947909884,1.90415587527344e-11,2.75474635615356e-09
"SNAPC4",2036.14087483953,-0.579824030939755,0.0866340611612443,-6.69279522589366,2.18947428223363e-11,3.13417481727317e-09
"CDR2L",3979.89826389542,-0.489323433700699,0.0732495074298497,-6.68022831647461,2.38570273628668e-11,3.37949703237109e-09
"DDX49",4435.09837575657,-0.521238004205639,0.0783049846862444,-6.65651115690983,2.80403857327192e-11,3.9311464492706e-09
"PLS3",7027.36273418352,0.556433478161148,0.0836704919780326,6.65029528339857,2.92505585795626e-11,4.05896271554563e-09
"RDH11",5258.95434904396,0.492063542858327,0.0740269979480422,6.64708223348047,2.98960021980779e-11,4.10662357466324e-09
"KLHL21",3404.72364304854,-0.520987949402888,0.0786402343135297,-6.62495418472137,3.47355897045932e-11,4.72369284392763e-09
"B4GALT2",5656.78447439432,-0.42758439852348,0.0646323693573347,-6.6156386153737,3.69951138820085e-11,4.88443256001392e-09
"SRRT",10398.8965337928,-0.406855659177437,0.0614963555447721,-6.61593122996091,3.69219994404287e-11,4.88443256001392e-09
"CLUH",12477.6848751242,-0.425800062677728,0.0643483447391884,-6.61710980140277,3.66289435232316e-11,4.88443256001392e-09
"ERF",6723.09648715978,-0.487322394220753,0.0737287766496534,-6.60966336843518,3.85194925582196e-11,5.03679403172335e-09
"RLIM",4584.99398039973,0.516541631022929,0.0782966407477956,6.59723873322716,4.18885965598867e-11,5.42517166302761e-09
"GTF3C5",6552.72135682181,-0.496195346509226,0.075498713083838,-6.57223582020826,4.95652783338612e-11,6.35885113266207e-09
"NEBL",1527.98160248397,0.632044214744426,0.0964002250923673,6.55645994746199,5.51001095911007e-11,7.00286346102223e-09
"TCP11L2",617.203596193683,0.846788971784369,0.129327764941172,6.54761931569413,5.84615100758054e-11,7.36127847704517e-09
"NT5DC2",7046.60111977767,-0.464296987875073,0.0709904873219012,-6.54027046989763,6.14076755352937e-11,7.66131173949045e-09
"UBE2S",32560.2006353518,-0.537548311500086,0.0822200274131869,-6.53792425534841,6.23784997161899e-11,7.71168379673151e-09
"MT2A",28964.6105737185,-0.621940896034581,0.0951759856654288,-6.53464097782905,6.37623091700561e-11,7.81174452615849e-09
"STARD4",8496.68412489638,0.479284066389106,0.0734764468949513,6.52296193737205,6.89323605501967e-11,8.36974259930469e-09
"MPP7",3017.62855633242,0.522092852732344,0.0801193286597054,6.51644068249565,7.19952608216166e-11,8.66427922047047e-09
"NAA38",5154.23069884509,-0.45920940783171,0.0705291869616959,-6.5109131072375,7.46953454830778e-11,8.91036844933662e-09
"FCHO2",1134.18154843427,0.678977895295251,0.104324824983868,6.50830610451771,7.60029263569188e-11,8.9875112654586e-09
"EIF5AP4",1392.95305261773,-0.579372011815562,0.0890739383642142,-6.50439424207975,7.80070725614334e-11,9.14498430830114e-09
"CHCHD2",36260.935818055,-0.427991670561257,0.0659250196590649,-6.49209773125045,8.46493128901374e-11,9.83885475207674e-09
"BIRC2",2808.70180849475,0.516545597055893,0.0796453679891428,6.48556984665208,8.8397035818223e-11,1.01873838143391e-08
"PSD3",4495.29099820625,0.468902581376492,0.0724008459543105,6.47647931727757,9.38874790830662e-11,1.07292086390808e-08
"GOLGB1",3379.0440985115,0.612512604194113,0.0946366993734795,6.47225239520304,9.65526612515719e-11,1.09418303363344e-08
"HLTF",4043.88342518738,0.568973356944436,0.08814951900618,6.4546393827123,1.08476898569004e-10,1.21915482945445e-08
"RPE",2620.14211866503,0.59480169347279,0.0923063215451396,6.44378070229914,1.16533433988529e-10,1.29896571213935e-08
"GSTP1",33860.6871582305,-0.53805079667257,0.0835644030962882,-6.43875593837,1.20456708995726e-10,1.33178112653079e-08
"NIPSNAP2",3448.10207230459,0.540179591615876,0.0839932985624618,6.43122250061616,1.26581706742268e-10,1.38110398795979e-08
"NDUFA3",2690.6397886149,-0.657028001645317,0.102169221654666,-6.43078209860581,1.26949039263897e-10,1.38110398795979e-08
"PLS1",3002.76931684756,0.593754272643609,0.0923674338998893,6.42817763333275,1.29142778708152e-10,1.3938195616287e-08
"DHX30",10708.6435252797,-0.445607717772591,0.0693584926171105,-6.42470303143038,1.32127203400144e-10,1.41480144806186e-08
"S100A10",12002.9123508818,-0.54595013704803,0.0849973302895072,-6.42314452922795,1.33487639656674e-10,1.41820188413368e-08
"SNAI1",759.420148809741,-0.759890944363021,0.118369844326501,-6.41963287766948,1.36603374949011e-10,1.44005371777644e-08
"SAMD12",962.633726869406,0.703174015330578,0.109580305511873,6.41697440106504,1.39009286297412e-10,1.45414406489116e-08
"AK3",3000.55059613586,0.559380937176278,0.0872028195677993,6.41471158786746,1.41089709227886e-10,1.46464042426719e-08
"USP34",5951.30171317812,0.492851860291654,0.0769451078538705,6.40523970968562,1.50133312101699e-10,1.54310018626487e-08
"POLR2E",16623.5565048423,-0.449220128942936,0.0701419279911528,-6.40444512730812,1.50917218011051e-10,1.54310018626487e-08
"CCDC85B",9566.7493920301,-0.559131315562989,0.0873592964980488,-6.40036421968527,1.55006743118747e-10,1.57308708930734e-08
"PATJ",3618.63930039396,0.549698261089042,0.0859209062417752,6.39772419930291,1.57709816257991e-10,1.5886635491055e-08
"STK3",1872.45661577421,0.555035953219413,0.0868443336910287,6.39115909616047,1.64632976469416e-10,1.64620871103499e-08
"DARS1",8600.59236650609,0.475554345871475,0.0744465332500329,6.38786421758954,1.68218599357017e-10,1.66978406648499e-08
"ADISSP",5025.4412520014,-0.506086493611751,0.0792400452199229,-6.38675170120307,1.69446430748532e-10,1.66978406648499e-08
"SCAF1",8889.69838715396,-0.44634500465558,0.0699008605823831,-6.38540070804323,1.70949234994353e-10,1.67247384653828e-08
"BYSL",3546.8049873105,-0.479049910402199,0.0751367127319453,-6.37571026178957,1.8211694062732e-10,1.7610754725343e-08
"BOP1",17272.5868908781,-0.51237658245105,0.0803825699223176,-6.3742249463561,1.83890519229259e-10,1.7610754725343e-08
"PVR",5183.95852868046,-0.430336753537275,0.0675033822889837,-6.37503987126146,1.82915358433938e-10,1.7610754725343e-08
"RO60",3534.44502934386,0.519352725173283,0.0816497681728584,6.36073729044492,2.0078760557876e-10,1.90944800578011e-08
"SLK",5984.07967309478,0.517604967243117,0.0814728582745114,6.35309694793227,2.11022625270161e-10,1.9738714408364e-08
"PRR13",4223.48097747389,-0.491414411545311,0.0773582862661663,-6.35244697451679,2.11916486772641e-10,1.9738714408364e-08
"SUPT5H",12182.0686702206,-0.407207244948957,0.0640923094674976,-6.35344939716145,2.10539468456606e-10,1.9738714408364e-08
"CSDE1",27766.0690373584,0.518039239757517,0.0815677306091875,6.35103166274884,2.13875677354894e-10,1.97856825601986e-08
"BBX",6245.74297257023,0.514374228808712,0.0810315574239946,6.34782602187032,2.18378840354358e-10,2.00657692566143e-08
"UBAP2L",11175.6204590986,-0.444838800363448,0.0700892255009116,-6.34675012006892,2.19910884131755e-10,2.00709269349512e-08
"PIMREG",2401.39094101632,-0.523593161004655,0.08251822992006,-6.34518168302797,2.22163104378437e-10,2.01413070429491e-08
"TAB2",5151.31150668705,0.522474261305078,0.0823670790923047,6.34324134184202,2.24980561112763e-10,2.0261659937566e-08
"GOLGA5",2236.62797608074,0.558251477313572,0.0881745841579282,6.33120623867867,2.43251938710403e-10,2.17630468060708e-08
"TCOF1",11404.1144509453,-0.38452505562548,0.060809933743701,-6.32339211626441,2.55882874365603e-10,2.27434719509662e-08
"ENSG00000244313",4890.52385940863,-0.648972991769309,0.102707137003685,-6.31867473577836,2.63815883948204e-10,2.32963130247509e-08
"GPALPP1",1256.18416389068,0.6484997177174,0.102707972503565,6.31401537689679,2.71886905757558e-10,2.38541292348196e-08
"NOC2L",26379.2271671545,-0.419176453298025,0.0664211678031978,-6.31088653153496,2.77441558163176e-10,2.40313869392422e-08
"ROMO1",3894.18716049483,-0.541214605197091,0.0857550922260683,-6.31116579958117,2.76941301627102e-10,2.40313869392422e-08
"RNASEH2C",1900.15463214981,-0.569399704703728,0.0903077279864072,-6.30510497163025,2.87998639327936e-10,2.47879335203836e-08
"FLNC",12021.5893220918,-0.425160466809972,0.0674434291197401,-6.30395684737702,2.90141305963281e-10,2.48152932062557e-08
"SLC25A36",3760.4965463762,0.545827037953196,0.0866276757139091,6.30083900387457,2.96038767077822e-10,2.51614449593206e-08
"DCAF15",3205.95639131845,-0.503729300691859,0.0800191756389101,-6.29510734983022,3.07187194989138e-10,2.59468240040825e-08
"RNMT",6419.31946389343,0.501367715577836,0.079716614020347,6.28937545503207,3.18745711637911e-10,2.67569316824936e-08
"TMF1",2235.95353025079,0.573366606193324,0.0911885337124158,6.28770507486795,3.22193251444992e-10,2.68804050699414e-08
"DNAJC13",2962.80957006713,0.558047524982597,0.0888208260608551,6.28284547365337,3.32431454440095e-10,2.75654594447003e-08
"ZBTB25",1323.66404700114,0.618873732453501,0.0985832748053736,6.27767472398642,3.43673957769543e-10,2.83249827376243e-08
"NUCB2",2061.7442243476,0.55708149612469,0.0889033294039807,6.26614885920961,3.70086567502133e-10,3.01052310915067e-08
"INTS13",3413.44388941816,0.581578100256016,0.0928377666184009,6.26445595838735,3.74129278216386e-10,3.01052310915067e-08
"TWF1",7542.78022556032,0.509692034297209,0.0813457906341186,6.26574565597044,3.71045545350968e-10,3.01052310915067e-08
"ELOF1",4043.09523217603,-0.552288875837074,0.0881494698043598,-6.26536809651642,3.71945731232631e-10,3.01052310915067e-08
"BLOC1S6",3497.31701312835,0.520249633912552,0.0830987319356859,6.26062061109667,3.83448368494443e-10,3.06736139009172e-08
"CCNE1",1863.15149264336,-0.563590652687483,0.090110179301304,-6.25446156091854,3.98889690230356e-10,3.17222274704246e-08
"TRPM2",2172.19088268469,-0.541357008729648,0.0867366362042127,-6.24138809643341,4.33704664018704e-10,3.42904053836649e-08
"AP3B1",4820.97971880013,0.540617000137015,0.0866697684875652,6.23766521557721,4.44149918266336e-10,3.49132643844156e-08
"SERINC1",4635.2565228933,0.540039714223971,0.0866020546258287,6.23587646456261,4.4925553829804e-10,3.51116440535348e-08
"EIF4G1",42044.466455599,-0.413036027267729,0.0662593855504808,-6.23362296278844,4.55769291717337e-10,3.54171805603661e-08
"IGF2BP3",4440.71558119519,0.473002683692285,0.0759510838794205,6.22772789448563,4.73248065544534e-10,3.65664797917052e-08
"RICTOR",1826.14393818183,0.591355427597773,0.0949862325429965,6.22569620634327,4.79422248420548e-10,3.68342551201753e-08
"S100A2",693.557768695866,-0.766430289659648,0.123265227405439,-6.21773314171348,5.04388408269489e-10,3.83194299667977e-08
"WASL",2757.88510043285,0.525658891166206,0.0845308421760433,6.21854553479394,5.01784336882364e-10,3.83194299667977e-08
"FARSA",8999.74707334086,-0.481858592898376,0.077509406878779,-6.21677564443217,5.0747453688854e-10,3.83397012619292e-08
"MORC3",1807.92531694012,0.58465663110018,0.0940637330095504,6.21553719371119,5.11493555540803e-10,3.84298390154662e-08
"ATAD2",13550.7199043523,0.549331585763427,0.0884956101969331,6.20744446578735,5.38531297659486e-10,4.02389402025898e-08
"RPS15",55726.2616714634,-0.513482161492583,0.0827403621449192,-6.20594529902132,5.43690885915677e-10,4.04024718992748e-08
"KITLG",40201.0617551547,0.439661660019576,0.0708613336511423,6.20453549723006,5.48586905336716e-10,4.05447463351848e-08
"SCP2",2936.99255367048,0.51103023284796,0.0824826156596645,6.19561138745341,5.80592155414871e-10,4.24674076753908e-08
"RPSAP19",479.291385395552,-1.01606459543912,0.163999299652571,-6.19554228336114,5.80846961366475e-10,4.24674076753908e-08
"CAPZA2",6452.35196591456,0.519081388589314,0.083816389265062,6.1930774296154,5.90007263100142e-10,4.29064640155018e-08
"DBT",1963.54558007904,0.624807412306049,0.100934942490867,6.19019931935449,6.00881848041845e-10,4.34648524017077e-08
"NLE1",3155.91689932489,-0.523059130518397,0.0845807498434488,-6.18413919818081,6.24422519102242e-10,4.49286869696899e-08
"PMPCA",8369.2436441785,-0.442970624724067,0.0716451932872779,-6.18283801605329,6.29593097789568e-10,4.50622975623176e-08
"NUCKS1",22475.1055509233,0.38925957717413,0.0630296202914785,6.17581980303881,6.58210257826199e-10,4.68638811318245e-08
"AKAP12",306912.486703079,0.43409859159972,0.070399127993991,6.16624955406795,6.99286943868578e-10,4.90185729364371e-08
"CCDC186",2054.22641293237,0.646122521761694,0.10477400390954,6.16682094462618,6.96765796295482e-10,4.90185729364371e-08
"VEZF1",6032.01488415511,0.457590137882437,0.0741892322770749,6.16787805774122,6.92124851383876e-10,4.90185729364371e-08
"PGAM5",9211.44282555836,-0.420230483505474,0.068165114567642,-6.16489073877326,7.05318246002e-10,4.91878093711857e-08
"SPTSSA",4202.8451277464,0.494070743293456,0.0801582228523703,6.16369382593973,7.10672934997402e-10,4.93083736889269e-08
"RNF141",10250.4029982818,0.450648114767864,0.0731692754475951,6.15898014584857,7.32149039845274e-10,5.05405827048522e-08
"STK17B",1425.50789279182,0.61927846588593,0.100584318323785,6.15680929399397,7.42251386038181e-10,5.09791747410769e-08
"ZDHHC20",9713.63461930559,0.530090303308398,0.0861557080100525,6.15270091270736,7.61743779960624e-10,5.20550435361032e-08
"ITGAV",4234.68076906504,0.499885819888223,0.0812883364070133,6.14953930641757,7.77083272937673e-10,5.260685755935e-08
"TMEM87A",1928.39582092215,0.663402466858855,0.107880091678834,6.1494429281155,7.77555582721475e-10,5.260685755935e-08
"MRTO4",7506.42145792099,-0.464070843390732,0.0755309552456443,-6.14411458032623,8.04107837693934e-10,5.41339726970288e-08
"USO1",8340.28810845311,0.466298389436514,0.0759395173988265,6.14039179347906,8.23181932606341e-10,5.51450793178011e-08
"XPO6",10502.9639479992,-0.386385521066801,0.0629536355244737,-6.13762045428799,8.37667007418836e-10,5.58403609504351e-08
"CAVIN1",18734.6391442634,-0.412951936700585,0.0673281560749943,-6.13342115356038,8.60090555476735e-10,5.70554705557469e-08
"CMTM6",6852.64407144707,0.443695221100218,0.0723681421263205,6.13108486778251,8.72818268063151e-10,5.74573495106734e-08
"FAM3C",25132.5709199259,0.424720638920143,0.0692769890510462,6.13076065715257,8.74598966740892e-10,5.74573495106734e-08
"REEP3",3391.64980856544,0.528429536135076,0.0862048874480931,6.12992548077117,8.79202435671563e-10,5.74820861668153e-08
"SAPCD2",5183.030836628,-0.40597634445247,0.0662375909187422,-6.12909284322413,8.83815431074866e-10,5.75072059674024e-08
"FAM210A",2251.63510003557,0.566448729720667,0.0924623034484468,6.12626669025714,8.99649650696136e-10,5.82587409515083e-08
"MRPL49",7686.49741689688,-0.3887681892738,0.0634769417155231,-6.12455765459047,9.09358823238867e-10,5.86083916456178e-08
"SMYD5",3142.92525297003,-0.455124097153974,0.0743320114887622,-6.12285458227888,9.19135742642051e-10,5.89590894537229e-08
"ARHGAP12",5989.91376267794,0.533391952090402,0.0871383868106987,6.12120526455412,9.28701742492647e-10,5.92930281509742e-08
"ARFIP1",2296.80094266246,0.613748724560803,0.100311967430124,6.11839983089091,9.45196670782534e-10,6.0064156663419e-08
"XRN1",2296.88957799887,0.604600525815951,0.0988526642743627,6.11617835749879,9.58460486544617e-10,6.06237402628849e-08
"DHX40",5733.83150836594,0.561420275740857,0.0919494055844439,6.105752094561,1.02317716855897e-09,6.41206742637486e-08
"NORAD",18313.1104429448,0.432415401995297,0.0708184228330021,6.10597334276959,1.02176061805055e-09,6.41206742637486e-08
"SELENOI",7039.28680338102,0.536744019795804,0.0879610760458818,6.10206291150679,1.04708142846167e-09,6.50194536331062e-08
"MRPS26",5429.98698584955,-0.450189954644233,0.0737753067772528,-6.10217665381555,1.0463363593189e-09,6.50194536331062e-08
"UGP2",3579.07948524928,0.571243202906659,0.0937093892734195,6.09590146020396,1.08822436416411e-09,6.72671051284896e-08
"ODC1",28727.0179577161,-0.43320104969482,0.0710869814991253,-6.09395757928125,1.10152861639491e-09,6.77813921011511e-08
"RNGTT",3163.02254347598,0.467439834266857,0.0768857186621971,6.07967048237641,1.20429778132868e-09,7.37713762535528e-08
